year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2021,No,Yes,Somewhat unlikely,Somewhat unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,50,60,30,"Number is just right, but it should be a different cohort in the Fall",Just right,11,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Yale,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Other,91,70,50,Don't know enough to say,Just right,50,Very well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,7,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,82,72,50,Allows too many students back on campus,Just right,50,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,52,48,83,Allows too few students back on campus,Too many precautionary measures taken,35,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Other (please specify),Brown and Columbia
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Extremely likely,Living with Harvard friends,,,70,80,50,Allows too few students back on campus,Just right,30,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",9,Princeton,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,62,54,28,Just right,Just right,40,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,4,Don't know enough to say,
2023,No,Yes,Extremely likely,Somewhat unlikely,Yes,,Family Home,,,60,68,9,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,8,Other (please specify),Columbia
2021,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,60,30,40,Just right,Too many precautionary measures taken,5,,,,,,,,,Don't know enough to say,
2024,No,Yes,Somewhat likely,,,Extremely likely,,Fall and Spring,Internship/Industry Work,50,75,40,Allows too few students back on campus,Too many precautionary measures taken,3,Very well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat well,"Policy is not individualized enough,Agree with the policy",8,Princeton,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,80,30,Allows too few students back on campus,Too many precautionary measures taken,30,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Yale,
2024,No,No,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,50,30,Allows too few students back on campus,Too many precautionary measures taken,6,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Agree with the policy,2,Cornell,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,80,75,36,Allows too few students back on campus,Too many precautionary measures taken,0,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Agree with the policy,4,Don't know enough to say,
2021,No,Yes,Somewhat likely,Somewhat unlikely,No,,Family Home,,,70,80,30,Just right,Don't know enough to say,20,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Agree with the policy,7,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,98,100,88,Just right,Just right,4,Very well,Somewhat well,Somewhat well,Somewhat well,Very poorly ,Somewhat well,Agree with the policy,9,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,73,85,40,Allows too few students back on campus,Too many precautionary measures taken,2,Somewhat well,,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very well,Agree with the policy,7,Cornell,
2022,No,Prefer not to say,Extremely likely,Extremely unlikely,No,,Family Home,,,67,11,25,"Number is just right, but it should be a different cohort in the Fall",Too few precautionary measures taken,2,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,6,MIT,
2021,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,85,60,40,Don't know enough to say,Don't know enough to say,30,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,8,Don't know enough to say,
2023,Yes,No,Extremely likely,Extremely unlikely,No,,Family Home,,,75,75,30,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,4,Yale,
2024,Yes,No,Somewhat likely,,,Extremely likely,,"Fall, and maybe Spring depending on policy",Volunteering,85,80,30,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Policy is not individualized enough,5,Don't know enough to say,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,63,59,Just right,Don't know enough to say,17,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,60,75,81,Allows too few students back on campus,Too many precautionary measures taken,0,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Duke,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,82,61,35,Allows too few students back on campus,Just right,4,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,7,Princeton,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Internship/Industry Work,40,82,90,Allows too few students back on campus,Too many precautionary measures taken,8,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Cornell,
2023,Yes,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,60,50,Allows too few students back on campus,Too many precautionary measures taken,35,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,1,Other (please specify),"Purdue University, Brown University, Columbia University, University of Pennsylvania, Yale University, Duke University"
2024,No,No,Extremely likely,,,Extremely likely,,,,95,85,25,Allows too few students back on campus,Just right,82,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,4,Don't know enough to say,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,80,40,"Number is just right, but it should be a different cohort in the Fall",Just right,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,3,Princeton,
2024,No,No,Somewhat likely,,,Extremely likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,90,75,37,Allows too few students back on campus,Too many precautionary measures taken,3,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,2,Stanford,
2022,No,No,Somewhat likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,69,68,40,"Number is just right, but it should be a different cohort in the Fall",Just right,36,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,4,Yale,
2024,No,No,Extremely likely,,,Somewhat likely,,,,91,83,40,Allows too many students back on campus,Too many precautionary measures taken,11,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,MIT,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,63,20,Allows too few students back on campus,Don't know enough to say,50,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,50,80,75,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,1,Stanford,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,85,80,40,Just right,Just right,25,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Agree with the policy,9,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,80,85,30,Just right,Just right,25,Very well,Very well,Very well,Very well,Very well,Very well,Policy is not individualized enough,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,70,10,Allows too few students back on campus,Just right,26,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Princeton,
2021,No,No,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,90,90,40,"Number is just right, but it should be a different cohort in the Fall",Just right,5,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,7,Stanford,
2023,No,No,Extremely likely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,81,69,38,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,62,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,4,Yale,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,60,60,40,Allows too few students back on campus,Don't know enough to say,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Other (please specify),Columbia
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Chill at home,40,23,55,Allows too few students back on campus,Too many precautionary measures taken,59,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,1,Other (please specify),Brown 
2024,No,Yes,Extremely likely,,,Extremely likely,,,,92,73,39,Allows too few students back on campus,Too many precautionary measures taken,11,Somewhat well,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Cornell,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,83,74,52,Just right,Just right,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,4,Princeton,
2022,Yes,No,Extremely likely,Somewhat unlikely,No,,Family Home,,,80,60,20,Allows too few students back on campus,Don't know enough to say,2,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,,7,Yale,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,60,30,Don't know enough to say,Don't know enough to say,100,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,71,61,30,"Number is just right, but it should be a different cohort in the Fall",Just right,35,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,4,Dartmouth,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,100,100,90,Just right,Just right,30,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Agree with the policy,10,Don't know enough to say,
2022,Yes,Yes,Somewhat unlikely,Somewhat likely,Yes,Somewhat unlikely,Family Home,"Fall, and maybe Spring depending on policy",Other,100,100,39,Allows too many students back on campus,Too few precautionary measures taken,11,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Not enough money provided to off-campus students,10,Don't know enough to say,
2023,Yes,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,65,50,5,Allows too few students back on campus,Just right,8,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Princeton,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,85,85,40,Allows too few students back on campus,Just right,10,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,4,Northeastern,
2024,No,No,Somewhat likely,,,Somewhat likely,,Fall and Spring,Internship/Industry Work,70,65,51,Allows too few students back on campus,Too many precautionary measures taken,30,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very well,Policy is not individualized enough,4,Other (please specify),Brown
2021,No,No,Extremely likely,Extremely unlikely,Yes,,Family Home,,,60,80,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2023,No,No,Extremely likely,Somewhat unlikely,Yes,,Family Home,,,82,76,51,Allows too few students back on campus,Just right,39,Very well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Yale,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),"Fall, and maybe Spring depending on policy",Internship/Industry Work,76,80,15,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,4,Cornell,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,Fall and Spring,Internship/Industry Work,60,72,29,Don't know enough to say,Just right,50,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,9,Don't know enough to say,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,85,85,20,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Yale,
2021,No,Yes,Somewhat likely,Somewhat likely,Yes,Somewhat likely,Personal Apartment/Home (not with Harvard friends),Fall only,Internship/Industry Work,59,66,39,Just right,Just right,15,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,6,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,65,55,22,Allows too few students back on campus,Too many precautionary measures taken,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,2,Duke,
2024,Yes,No,Somewhat likely,,,Extremely likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,40,40,20,Just right,Just right,3,Somewhat poorly ,Very well,Very well,Very well,Somewhat well,Very well,Agree with the policy,7,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,61,40,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,5,Other (please specify),John Hopkins is fully reopening and they know have been most involved with addressing the virus
2021,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,Fall only,Research,80,70,10,Just right,Just right,0,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Very well,Agree with the policy,8,Don't know enough to say,
2023,Yes,Yes,Somewhat unlikely,Somewhat likely,Yes,Somewhat unlikely,Family Home,"Fall, and maybe Spring depending on policy",Travel,71,63,31,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,9,Somewhat poorly ,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Stanford,
2024,No,No,Extremely likely,,,Extremely likely,,,,75,75,80,Allows too few students back on campus,Too many precautionary measures taken,5,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,60,80,60,Just right,Too few precautionary measures taken,50,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,64,91,39,Don't know enough to say,Don't know enough to say,,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,5,Don't know enough to say,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Internship/Industry Work,80,60,21,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Northeastern,
2021,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,Fall only,Volunteering,61,73,37,Allows too few students back on campus,Just right,16,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Yale,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,70,50,15,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,3,Yale,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Other,75,60,35,Allows too few students back on campus,Too few precautionary measures taken,17,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Not enough money provided to off-campus students,3,Cornell,
2023,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,56,41,40,Allows too few students back on campus,Don't know enough to say,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,1,MIT,
2021,Yes,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,80,80,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,20,Somewhat poorly ,,,,,,Agree with the policy,5,Cornell,
2024,No,No,Somewhat likely,,,Somewhat likely,,Fall and Spring,Internship/Industry Work,80,86,33,Allows too few students back on campus,Don't know enough to say,10,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,8,Cornell,
2024,Yes,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,80,58,40,Don't know enough to say,Too many precautionary measures taken,1,Very well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Agree with the policy,5,Cornell,
2024,No,No,Extremely likely,,,Extremely likely,,,,70,80,70,Allows too few students back on campus,Just right,40,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,7,Other (please specify),Virginia Tech
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,66,50,9,"Number is just right, but it should be a different cohort in the Fall",Just right,49,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,80,35,Just right,Just right,25,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,7,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,60,60,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,7,Princeton,
2023,Yes,Yes,Somewhat likely,Extremely unlikely,Yes,,Family Home,Fall and Spring,Chill at home,60,40,5,Just right,Just right,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,,8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,85,80,40,Just right,Just right,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,4,Don't know enough to say,
2024,No,No,Extremely likely,,,Somewhat likely,,,,90,85,30,Allows too many students back on campus,Too few precautionary measures taken,8,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Agree with the policy,8,Don't know enough to say,
2021,No,Yes,Somewhat unlikely,Somewhat likely,No,Somewhat unlikely,Family Home,Fall and Spring,Internship/Industry Work,62,55,18,Don't know enough to say,Don't know enough to say,15,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Yale,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,80,90,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,2,Stanford,
2023,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,67,33,20,"Number is just right, but it should be a different cohort in the Fall",Just right,13,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Policy is not individualized enough,5,Yale,
2024,No,Yes,Somewhat likely,,,Extremely likely,,Longer,Travel,90,70,50,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,2,Princeton,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,65,60,55,Allows too few students back on campus,Too many precautionary measures taken,9,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,2,Other (please specify),Brown
2024,No,Yes,Extremely likely,,,Extremely likely,,,,82,69,30,Don't know enough to say,Just right,29,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,7,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Research,80,55,10,Allows too few students back on campus,Just right,40,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,4,MIT,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,78,85,71,Allows too few students back on campus,Don't know enough to say,1,Very well,Very well,Somewhat well,Somewhat poorly ,Somewhat well,Very well,Policy is not individualized enough,8,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,75,60,40,Don't know enough to say,Just right,10,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,,7,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,88,80,38,Just right,Just right,10,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,7,Princeton,
2022,No,Prefer not to say,Extremely likely,Extremely unlikely,No,,Family Home,,,82,72,20,Just right,Don't know enough to say,29,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2022,Yes,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,73,44,39,Just right,Just right,62,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,4,Cornell,
2023,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,85,70,36,Don't know enough to say,Don't know enough to say,10,Very well,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Stanford,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,70,10,Allows too few students back on campus,Too many precautionary measures taken,40,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,2,Northeastern,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,35,29,Allows too few students back on campus,Don't know enough to say,19,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,2,Don't know enough to say,
2023,No,Yes,Extremely likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,,,80,90,40,Allows too few students back on campus,Just right,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Cornell,
2024,No,No,Extremely likely,,,Extremely likely,,,,80,68,34,Just right,Just right,27,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall and Spring,Internship/Industry Work,80,70,50,Allows too few students back on campus,Don't know enough to say,5,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Cornell,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,85,59,30,Allows too few students back on campus,Too many precautionary measures taken,80,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,6,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,65,67,33,Allows too few students back on campus,Too many precautionary measures taken,50,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,1,Cornell,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,75,40,"Number is just right, but it should be a different cohort in the Fall",Just right,20,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Other (please specify),Columbia and Brown (three semester year)
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,75,28,Don't know enough to say,Too many precautionary measures taken,8,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Somewhat well,Not enough money provided to off-campus students,3,Cornell,
2024,No,No,Somewhat likely,,,Somewhat likely,,,,84,73,34,Allows too few students back on campus,Too many precautionary measures taken,34,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,,5,Stanford,
